Candidate;Item;Gender;Inanimate;Target_name_Russian;Target_name_English;dominant_name;number_of_diff_names;number_of_responses;number_of_names_each;Name_agreement_perc;Subjective_visual_complexity_Mean;Subjective_visual_complexity_SD;objective_visual_complexity;Object_familiarity_Mean;Object_familiarity_SD;Age_acquisition_Mean;Age_acquisition_SD;Imageability_Mean;Imageability_SD;Image_agreement_Mean;Image_agreement_SD;Frequency;Syllables;Phonemes;sim_score_mean;sim_score_max;sim_score_sd
2;200. клубок (1) (a clew);разные;неод;клубок;a clew;клубок;4;100;клубок 95, нитки 3, лубок 1, моток 1;95;2,82;1,27;383;3,96;1,34;1,76;0,73;1,04;0,24;4,81;0,59;6,8;2;6;0,095418;0,405089;0,076629
1;210. коготь (a claw);м;неод;коготь;a claw;коготь;3;100;коготь 95, ноготь 4, хвост 1;95;2,03;0,89;143;3,68;1,34;2,02;0,71;1,27;0,78;3,89;1,19;8,3;2;5;0,11497;0,382125;0,087623
2;215. колбаса (a wurst);разные;неод;колбаса;a wurst;колбаса;4;100;колбаса 97, закорючка 1, колечко колбасы 1, сервелат 1;97;2,27;0,93;357;4,53;0,86;1,41;0,51;1,13;0,6;3,38;1,2;28;3;7;0,086957;0,438524;0,079139
1;220. колодец (a well);м;неод;колодец;a well;колодец;2;100;колодец 99, колодезь 1;99;3,5;1,28;452;3,69;1,38;1,85;0,64;1,24;0,62;4,24;1,06;23,9;3;7;0,116051;0,433939;0,087115
1;221. колокол (a bell);м;неод;колокол;a bell;колокол;2;100;колокол 99, колокольчик 1;99;3,4;1,1;409;3,44;1,39;2,13;0,82;1,12;0,41;4,11;1,1;15,8;3;7;0,089963;0,463241;0,079504
1;228. компас (a compass);м;неод;компас;a compass;компас;1;100;компас 100;100;3,1;1,09;184;3,72;1,28;2,52;0,77;1,2;0,53;4,53;0,76;4,8;2;6;0,104754;0,359216;0,0859
2;230. конверт (an envelope);разные;неод;конверт;an envelope;конверт;2;100;конверт 95, письмо 5;95;1,23;0,55;--;4,32;1,01;2,06;0,57;1,05;0,26;4,81;0,47;25,4;2;7;0,120173;0,404338;0,08957
1;235. копилка (a piggy bank);ж;неод;копилка;a piggy bank;копилка;2;100;копилка 99, свинка 1;99;2,71;0,96;231;3,69;1,32;2,25;0,72;1,28;0,67;4,49;0,89;2,2;3;7;0,105085;0,297292;0,077872
2;240. коридор (a corridor);разные;неод;коридор;a corridor;коридор;3;100;коридор 98, общага 1, помещение 1;98;3,64;1;--;4,66;0,7;1,54;0,58;1,18;0,59;3,88;1,06;110,8;3;7;0,089666;0,314095;0,074208
2;241. коробка (a box);разные;неод;коробка;a box;коробка;2;100;коробка 98, короб 2;98;2,35;1,04;--;4,6;0,79;1,43;0,52;1,03;0,17;3,06;1,32;49;3;7;0,168648;0,418753;0,084915
1;244. корона (a crown);ж;неод;корона;a crown;корона;2;100;корона 99, арматура 1;99;3,16;1,18;487;3,31;1,45;1,68;0,53;1,07;0,29;4,17;0,97;9,4;3;6;0,101614;0,309913;0,075779
2;249. костер (a fire);разные;неод;костер;a fire;костер;3;100;костер 97, дрова 2, огонь 1;97;3,19;1,24;443;4,15;1,13;1,81;0,54;1,13;0,51;4,09;1,08;48;2;6;0,079386;0,346906;0,06923
1;250. костыль (a crutch);м;неод;костыль;a crutch;костыль;1;100;костыль 100;100;2,61;0,96;264;3,31;1,43;2,69;0,93;1,27;0,6;4,66;0,77;9,2;2;6;0,148623;0,341318;0,088788
2;251. кость (a bone);разные;неод;кость;a bone;кость;3;100;кость 95, косточка 4, валик 1;95;1,7;0,96;--;3,58;1,33;1,61;0,6;1,11;0,45;4,56;0,84;58,5;1;4;0,09417;0,336347;0,076942
1;252. костюм (a costume);м;неод;костюм;a costume;костюм;4;100;костюм 97, костюм мужской 1, костюм-двойка 1, смокинг 1;97;2,47;0,98;--;4,38;0,96;2,08;0,53;1,26;0,56;4,27;1,33;81,3;2;6;0,086112;0,417585;0,081086
2;264. кроссворд (a crossword);разные;неод;кроссворд;a crossword;кроссворд;3;100;кроссворд 98, загадка 1, скандворд 1;98;2,89;1,46;591;4,2;1,08;2,63;0,82;1,12;0,43;4,79;0,52;2,7;2;8;0,049421;0,165728;0,055247
2;286. лампа (1) (a lamp);разные;неод;лампа;a lamp;лампа;4;100;лампа 95, светильник 3, pixo 1, торшер 1;95;3,13;1,11;325;4,65;0,67;1,46;0,54;1,12;0,48;3,63;1,34;34;2;5;0,118806;0,350273;0,084156
1;293. лейка (a watering-can);ж;неод;лейка;a watering-can ;лейка;1;100;лейка 100;100;2,5;1,1;379;3,95;1,25;1,59;0,73;1,05;0,26;4,39;0,86;1,3;2;5;0,115047;0,376885;0,080427
1;319. маяк (a lighthouse);м;неод;маяк;a lighthouse;маяк;1;100;маяк 100;100;2,42;1,05;386;3,21;1,56;2,54;0,82;1,17;0,45;3,9;1,08;8,5;2;5;0,082419;0,350273;0,09968
1;322. мельница (a mill);ж;неод;мельница;a mill;мельница;1;100;мельница 100;100;3,57;1,06;--;2,73;1,41;2,32;0,78;1,26;0,54;4,48;0,74;10,5;3;7;0,080995;0,298196;0,073184
