Candidate;Item;Gender;Inanimate;Target_name_Russian;Target_name_English;dominant_name;number_of_diff_names;number_of_responses;number_of_names_each;Name_agreement_perc;Subjective_visual_complexity_Mean;Subjective_visual_complexity_SD;objective_visual_complexity;Object_familiarity_Mean;Object_familiarity_SD;Age_acquisition_Mean;Age_acquisition_SD;Imageability_Mean;Imageability_SD;Image_agreement_Mean;Image_agreement_SD;Frequency;Syllables;Phonemes
1;618. фен (a hairdryer);м;неод;фен;a hairdryer;фен;3;100;фен 97, массажер 2, нет ответа 1;97;3,13;1,19;190;4,47;1,02;2,49;0,98;1,1;0,36;3,8;1,2;2;1;3
1;208. ковер (a carpet);м;неод;ковер;a carpet;ковер;4;100;ковер 96, палас 2, коврик 1, узор 1;96;2,96;1,06;348;4,25;0,96;1,43;0,52;1,06;0,28;4,24;1,03;29,5;2;5
1;590. троллейбус (a trolley bus);м;неод;троллейбус;a trolley bus;троллейбус;3;100;троллейбус 96, трамвай 3, автобус 1;96;3,53;1,12;494;4,36;1,11;2,29;0,87;1,16;0,53;4,52;0,73;14,2;3;9
1;557. стол (a table);м;неод;стол;a table ;стол;2;100;стол 95, столик 5;95;1,86;1,06;--;4,84;0,53;1,05;0,22;1,03;0,22;4,44;0,83;402,5;1;4
1;210. коготь (a claw);м;неод;коготь;a claw;коготь;3;100;коготь 95, ноготь 4, хвост 1;95;2,03;0,89;143;3,68;1,34;2,02;0,71;1,27;0,78;3,89;1,19;8,3;2;5
2;104. грабли (a rake);мн;неод;грабли;a rake;грабли;1;100;грабли 100;100;2,39;1,15;--;3,64;1,15;1,89;0,63;1,09;0,51;4,93;0,26;3,7;2;6
2;352. ножницы (scissors);мн;неод;ножницы;scissors;ножницы;1;100;ножницы 100;100;2,31;0,96;285;4,7;0,63;1,56;0,5;1,01;0,1;4,62;0,6;8,7;3;7
2;187. качели (a swing);мн;неод;качели;a swing;качели;2;100;качели 99, качеля 1;99;2,88;0,95;--;4,24;0,92;1,23;0,47;1,07;0,26;4,29;0,91;5,1;3;6
2;348. наушники (earphones);мн;неод;наушники;earphones;наушники;2;100;наушники 99, стереогарнитура 1;99;3,51;1,13;305;4,77;0,51;2,93;0,95;1,22;0,65;4,15;1,31;4,9;4;8
2;678. шорты (shorts);мн;неод;шорты;shorts;шорты;2;100;шорты 99, шортики 1;99;2,62;0,99;--;4,42;0,88;1,71;0,71;1,06;0,28;4,32;0,88;5,5;2;5
2;637. хобот (a trunk);один одуш;неод;хобот;a trunk;хобот;2;100;хобот 97, слон 3;97;3,18;1,1;268;2,61;1,42;1,84;0,63;1,09;0,32;3,91;1,2;3,4;2;5
2;5. аквариум (an aquarium);разные;неод;аквариум;an aquarium;аквариум;2;100;аквариум 99, рыбки 1;99;3,36;1,19;296;3,97;1,21;2,2;0,72;1,16;0,55;4;1,13;8,3;4;8
2;178. карман (a pocket);разные;неод;карман;a pocket;карман;2;100;карман 99, пуговица 1;99;2,21;1,01;325;4,7;0,65;1,47;0,52;1,14;0,49;3,68;1,18;120,5;2;6
2;394. пальма (a palm);разные;неод;пальма;a palm;пальма;2;100;пальма 99, растение 1;99;2,86;1,07;362;3,01;1,39;2,12;0,7;1,04;0,2;4,07;1,03;14,3;2;5
2;410. перчатка (a glove);разные;неод;перчатка;a glove;перчатка;2;100;перчатка 99, ладонь 1;99;3,16;1,08;354;4,35;0,98;1,84;0,71;1,03;0,17;4,06;0,99;19,8;3;8
2;470. ракета (a rocket);разные;неод;ракета;a rocket ;ракета;2;100;ракета 99, тополь 1;99;1,85;0,82;194;3,48;1,42;2,03;0,73;1,15;0,48;4;1,07;62,9;3;6
2;516. сейф (a safe);разные;неод;сейф;a safe;сейф;2;100;сейф 99, хранилище 1;99;2,91;1,06;--;3,64;1,26;3,07;0,77;1,24;0,51;4,6;0,77;13,1;1;4
2;599. тыква (a pumpkin);разные;неод;тыква;a pumpkin;тыква;2;100;тыква 99, овощ 1;99;2;0,93;378;3,94;1,24;2,03;0,69;1,07;0,29;4,61;0,74;5;2;5
2;630. фотоаппарат (2) (a camera);разные;неод;фотоаппарат;a camera;фотоаппарат;2;100;фотоаппарат 99, фотокамера 1;99;3,94;1,14;370;4,47;0,8;2,11;0,79;1,12;0,41;4,32;0,95;8,5;5;10
2;629. фотоаппарат (1) (a camera);разные;неод;фотоаппарат;a camera;фотоаппарат;4;100;фотоаппарат 97, камера 1, pentax 1, фотокамера 1;97;3,71;1,17;405;4,4;0,96;2,07;0,74;1,17;0,47;4,02;0,97;8,5;5;10
