trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,AL,L1,sound_path,AFC1,AFC2,AFC3,AFC1_color,AFC2_color,AFC3_color,recognition_text,recognition_correctness,recall_AL,recall_L1,SEM_AL,variant,date,expName,psychopyVersion,OS,frameRate,key_resp_2.keys,key_resp_2.rt,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,key_resp.keys,key_resp.rt,recall_rt,recall_text,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_4.ran,rows,key_resp_10.keys,key_resp_10.rt,key_resp_3.keys,key_resp_3.rt,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_5.ran,recall_test_rt,recall_test_text,key_resp_4.keys,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials_6.ran,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_7.ran
,,,,,tanibu,хобот,tanibu.wav,точилка,роза,хобот,black,black,green,tanibu = хобот?,1,trokele,наперсток,nukene,5,2020-05-13_22h08.41.249,words,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,0.784195,0,4,4,4,1
,,,,,lornitu,копилка,lornitu.wav,копилка,веер,шашлык,green,black,black,lornitu = маяк?,0,favatu,клубок,enkade,5,2020-05-13_22h08.41.249,words,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,0.360545,0,5,5,5,1
,,,,,devinde,мельница,devinde.wav,аквариум,ремень,мельница,black,black,green,devinde = конверт?,0,lornitu,копилка,favatu,5,2020-05-13_22h08.41.249,words,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,0.2291,0,6,6,6,1
,,,,,takuru,терка,takuru.wav,качели,терка,домино,black,green,black,takuru = точилка?,0,sulvidu,утюг,tevone,5,2020-05-13_22h08.41.249,words,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,3.61135,0,7,7,7,1
,,,,,adiste,колокол,adiste.wav,микрофон,веер,колокол,black,black,green,adiste = колокол?,1,enkontu,мяч,maviru,5,2020-05-13_22h08.41.249,words,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,2.31848,0,8,8,8,1
,,,,,maviru,костыль,maviru.wav,пальма,кроссворд,костыль,black,black,green,maviru = костыль?,1,invaltu,намордник,mugalu,5,2020-05-13_22h08.41.249,words,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,2.31369,0,9,9,9,1
,,,,,madide,флаг,madide.wav,стрела,ремень,флаг,black,black,green,madide = флаг?,1,tivere,шашлык,vembare,5,2020-05-13_22h08.41.249,words,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,2.04326,0,10,10,10,1
,,,,,beskadu,удочка,beskadu.wav,мяч,утюг,удочка,black,black,green,beskadu = удочка?,1,tanibu,хобот,trokele,5,2020-05-13_22h08.41.249,words,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,2.563145,0,11,11,11,1
,,,,,enkade,точилка,enkade.wav,шашлык,свисток,точилка,black,black,green,enkade = наперсток?,0,takuru,терка,sulvidu,5,2020-05-13_22h08.41.249,words,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,12,12,12,1
,,,,,pentave,колбаса,pentave.wav,хобот,колбаса,качели,black,green,black,pentave = колбаса?,1,enkalu,веер,adiste,5,2020-05-13_22h08.41.249,words,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,1.652855,0,13,13,13,1
,,,,,mugalu,свисток,mugalu.wav,пальма,стол,свисток,black,black,green,mugalu = свисток?,1,savere,стрела,sevade,5,2020-05-13_22h08.41.249,words,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,2.810865,0,14,14,14,1
,,,,,pikide,качели,pikide.wav,качели,самолет,пистолет,green,black,black,pikide = стол?,0,dinrase,домино,devinde,5,2020-05-13_22h08.41.249,words,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,2.42891,0,15,15,15,1
,,,,,abadu,кроссворд,abadu.wav,гвоздь,мельница,кроссворд,black,black,green,abadu = домино?,0,kanvidu,аквариум,abadu,5,2020-05-13_22h08.41.249,words,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,16,16,16,1
,,,,,enveku,микрофон,enveku.wav,пальма,стрела,микрофон,black,black,green,enveku = микрофон?,1,madide,флаг,tivere,5,2020-05-13_22h08.41.249,words,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,3.849675,0,17,17,17,1
,,,,,favatu,клубок,favatu.wav,клубок,компас,ведро,green,black,black,favatu = клубок?,1,enkade,точилка,takuru,5,2020-05-13_22h08.41.249,words,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,1.7805,0,18,18,18,1
,,,,,tivere,шашлык,tivere.wav,стрела,копилка,шашлык,black,black,green,tivere = шашлык?,1,vembare,костюм,kaltane,5,2020-05-13_22h08.41.249,words,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left,2.57246,0,19,19,19,1
,,,,,invaltu,намордник,invaltu.wav,домино,намордник,мельница,black,green,black,invaltu = намордник?,1,mugalu,свисток,savere,5,2020-05-13_22h08.41.249,words,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,2.112145,0,20,20,20,1
,,,,,savere,стрела,savere.wav,стрела,колбаса,костюм,green,black,black,savere = шприц?,0,sevade,коридор,feranu,5,2020-05-13_22h08.41.249,words,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,2.21553,0,21,21,21,1
,,,,,ovarde,конверт,ovarde.wav,компас,конверт,мяч,black,green,black,ovarde = компас?,0,erfate,гранат,beskadu,5,2020-05-13_22h08.41.249,words,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,2.395125,0,22,22,22,1
,,,,,erfate,гранат,erfate.wav,гранат,шашлык,удочка,green,black,black,erfate = гранат?,1,beskadu,удочка,tanibu,5,2020-05-13_22h08.41.249,words,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left,3.7287,0,23,23,23,1
,,,,,panabu,гвоздь,panabu.wav,гвоздь,клубок,самолет,green,black,black,panabu = гвоздь?,1,akastu,шприц,venkere,5,2020-05-13_22h08.41.249,words,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,2.76069,0,24,24,24,1
,,,,,akastu,шприц,akastu.wav,одуванчик,флаг,шприц,black,black,green,akastu = самолет?,0,venkere,ведро,aderu,5,2020-05-13_22h08.41.249,words,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,2.864285,0,25,25,25,1
,,,,,enkalu,веер,enkalu.wav,шприц,веер,костюм,black,green,black,enkalu = веер?,1,adiste,колокол,enkontu,5,2020-05-13_22h08.41.249,words,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,2.311715,0,26,26,26,1
