trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,AL,L1,sound_path,AFC1,AFC2,AFC3,AFC1_color,AFC2_color,AFC3_color,recognition_text,recognition_correctness,recall_AL,recall_L1,SEM_AL,variant,date,expName,psychopyVersion,OS,frameRate,key_resp_2.keys,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,key_resp_2.rt,key_resp.keys,key_resp.rt,recall_rt,recall_text,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_4.ran,rows,key_resp_10.keys,key_resp_10.rt,key_resp_3.keys,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_5.ran,key_resp_3.rt,recall_test_rt,recall_test_text,key_resp_4.keys,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials_6.ran,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_7.ran
0,4,4,4,1,ekiste,качели,ekiste.wav,качели,самолет,пистолет,green,black,black,ekiste = кроссворд?,0,bokente,костыль,farantu,0,2020-05-13_12h51.47.900,words,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,5,5,5,1,apokte,костюм,apokte.wav,маяк,гранат,костюм,black,black,green,apokte = копилка?,0,farimu,конверт,ekiste,0,2020-05-13_12h51.47.900,words,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,6,6,6,1,derene,стол,derene.wav,намордник,компас,стол,black,black,green,derene = самолет?,0,potabu,маяк,kambipu,0,2020-05-13_12h51.47.900,words,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,7,7,7,1,ediste,кроссворд,ediste.wav,гвоздь,мельница,кроссворд,black,black,green,ediste = стол?,0,felkure,веер,apokte,0,2020-05-13_12h51.47.900,words,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,bokente,костыль,bokente.wav,костыль,пальма,кроссворд,green,black,black,bokente = микрофон?,0,farantu,точилка,sankadu,0,2020-05-13_12h51.47.900,words,2020.1.2,Win32,60,left,0,0,0,0,1,1.79711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,eskife,одуванчик,eskife.wav,компас,гвоздь,одуванчик,black,black,green,eskife = одуванчик?,1,kovaru,утюг,tinfetu,0,2020-05-13_12h51.47.900,words,2020.1.2,Win32,60,right,0,1,1,1,1,1.79605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,kovaru,утюг,kovaru.wav,аквариум,утюг,стрела,black,green,black,kovaru = мяч?,0,tinfetu,микрофон,kasfine,0,2020-05-13_12h51.47.900,words,2020.1.2,Win32,60,down,0,2,2,2,1,1.551975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,sankadu,домино,sankadu.wav,стрела,домино,колокол,black,green,black,sankadu = гвоздь?,0,befadu,мяч,kavenu,0,2020-05-13_12h51.47.900,words,2020.1.2,Win32,60,down,0,3,3,3,1,1.57073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,ekiste,качели,ekiste.wav,качели,самолет,пистолет,green,black,black,ekiste = кроссворд?,0,bokente,костыль,farantu,0,2020-05-13_12h51.47.900,words,2020.1.2,Win32,60,left,0,4,4,4,1,1.98067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,apokte,костюм,apokte.wav,маяк,гранат,костюм,black,black,green,apokte = копилка?,0,farimu,конверт,ekiste,0,2020-05-13_12h51.47.900,words,2020.1.2,Win32,60,right,0,5,5,5,1,2.424255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,derene,стол,derene.wav,намордник,компас,стол,black,black,green,derene = самолет?,0,potabu,маяк,kambipu,0,2020-05-13_12h51.47.900,words,2020.1.2,Win32,60,right,0,6,6,6,1,0.8992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,ediste,кроссворд,ediste.wav,гвоздь,мельница,кроссворд,black,black,green,ediste = стол?,0,felkure,веер,apokte,0,2020-05-13_12h51.47.900,words,2020.1.2,Win32,60,right,0,7,7,7,1,2.1288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
